shape_id,shape_len,period,speed_miles_per_minute,color
[@124.0.92281033@]SILVER WEEKEND 43,3971,10,397.1,#3180B6
[@124.0.92284627@]130N SILVER EVENING 1,5788,18,321.5555556,#3180B6
[@124.0.92284627@]130N SILVER EVENING 2,4657,14,332.6428571,#3180B6
[@124.0.92284627@]130S SILVER EVENING 3,5896,17,346.8235294,#3180B6
[@124.0.92284627@]SILVER 121,4787,15,319.1333333,#3180B6
[@124.0.92286725@]130N SILVER EVENING 1,5788,18,321.5555556,#3180B6
[@124.0.92286725@]130N SILVER EVENING 2,4657,14,332.6428571,#3180B6
[@124.0.92286725@]130S SILVER EVENING 3,5896,17,346.8235294,#3180B6
[@124.0.92286725@]SILVER 121,4787,15,319.1333333,#3180B6
[@124.0.92311676@]32,15212,37,411.1351351,#3180B6
[@124.0.92311676@]50E GREEN 53,8553,24,356.375,#3180B6
[@124.0.92311676@]50W GREEN 59,15523,41,378.6097561,#3180B6
[@124.0.92311676@]71,20861,56,372.5178571,#3180B6
[@124.0.92311676@]GREEN EV 61,5280,18,293.3333333,#EDF7B4
[@124.0.92311676@]GREEN EVENING 39,17666,45,392.5777778,#3180B6
[@124.0.92319406@]1,15274,47,324.9787234,#3180B6
[@124.0.92319406@]20,7866,20,393.3,#3180B6
[@124.0.92319406@]4,22473,54,416.1666667,#3180B6
[@124.0.92319406@]7,21520,59,364.7457627,#3180B6
[@124.0.92319406@]9,6509,15,433.9333333,#3180B6
[@124.0.92327957@]100 LATE 3,4498,14,321.2857143,#3180B6
[@124.0.92327957@]100 LATE 4,7471,18,415.0555556,#3180B6
[@124.0.92327957@]100 LATE 5,11485,29,396.0344828,#3180B6
[@124.0.92327957@]100N-LATE,4606,14,329,#3180B6
[@124.0.92327957@]100NLTNT->,12077,31,389.5806452,#3180B6
[@124.0.92327957@]100SLTNT->,11573,29,399.0689655,#3180B6
[@124.0.92327957@]32,10435,26.5,386.4814815,#3180B6
[@124.0.92330667@]100 LATE 3,4498,14,321.2857143,#3180B6
[@124.0.92330667@]100 LATE 4,7471,17,439.4705882,#3180B6
[@124.0.92330667@]100 LATE 5,11485,28,410.1785714,#3180B6
[@124.0.92330667@]100NLTNT->,12077,31,389.5806452,#3180B6
[@124.0.92330667@]100SLTNT->,11573,29,399.0689655,#3180B6
[@124.0.92334988@]1,3493,10,349.3,#3180B6
[@124.0.92334988@]219,20146,57,353.4385965,#3180B6
[@124.0.92334988@]395,11209,28,400.3214286,#3180B6
[@124.0.92334988@]397,11710,36,325.2777778,#3180B6
[@124.0.92334988@]50E->LS,8544,28,305.1428571,#3180B6
[@124.0.92334988@]50E->PC,17657,48,367.8541667,#3180B6
[@124.0.92334988@]50W-WKND,14225,48,296.3541667,#EDF7B4
[@124.0.92334988@]50W-WKND->IT,15533,42,369.8333333,#3180B6
[@124.0.92334988@]GN1SUNPO,1410,3,470,#3180B6
[@124.0.92334988@]GN4SUNPO,7884,20,394.2,#3180B6
[@124.0.92334988@]GN5SUNPO,6454,10,645.4,#82CCBB
[@124.0.92334988@]GREEN WEEKEND 32,9113,20,455.65,#3180B6
[@124.0.92344750@]50E->50WLNIGHT,6489,15,432.6,#3180B6
[@124.0.92344750@]50E-LATE,6489,15,432.6,#3180B6
[@124.0.92344750@]50W-LATE,5055,15,337,#3180B6
[@124.0.92344750@]50WLTNT->,5055,15,337,#3180B6
[@124.0.92345918@]50E-LATE,6489,14,463.5,#3180B6
[@124.0.92345918@]50W-LATE,5055,14,361.0714286,#3180B6
[@124.0.92348983@]22N 316,4226,12,352.1666667,#3180B6
[@124.0.92348983@]ILLINI 845 315,4443,13,341.7692308,#3180B6
[@124.0.92350475@]2,2476,10,247.6,#EDF7B4
[@124.0.92350475@]3,3376,10,337.6,#3180B6
[@14.0.51708617@]32,14436,35,412.4571429,#3180B6
[@14.0.56288268@]341,3844,10,384.4,#3180B6
[@14.0.56288340@]23,28969,73,396.8356164,#3180B6
[@14.0.56288404@]14,9364,18,520.2222222,#3180B6
[@14.0.56288404@]21,2699,5,539.8,#3180B6
[@14.0.56288404@]24,4255,5,851,#82CCBB
[@14.0.56288404@]31,1410,3,470,#3180B6
[@14.0.56288404@]32,3082,10,308.2,#3180B6
[@14.0.56288404@]33,8777,10,877.7,#82CCBB
[@14.0.56288404@]40,29742,81,367.1851852,#3180B6
[@14.0.56288404@]42,25780,80,322.25,#3180B6
[@14.0.56288404@]45,6507,20,325.35,#3180B6
[@14.0.56288404@]5,25217,71,355.1690141,#3180B6
[@14.0.56288498@]24,3769,7,538.4285714,#3180B6
[@14.0.56288722@]18,3343,17,196.6470588,#EDF7B4
[@14.0.56288722@]34,8777,15,585.1333333,#3180B6
[@14.0.56288722@]35,3938,12,328.1666667,#3180B6
[@14.0.56288722@]36,7395,10,739.5,#82CCBB
[@14.0.56288722@]64,4551,18,252.8333333,#EDF7B4
[@14.0.56288947@]26,12826,28,458.0714286,#3180B6
[@14.0.56289002@]26,5977,12,498.0833333,#3180B6
[@14.0.56289035@]63,4548,7,649.7142857,#82CCBB
[@14.0.57586460@]38,7884,20,394.2,#3180B6
[@14.0.57766396@]100N,25842,70,369.1714286,#3180B6
[@14.0.57766396@]100NGRNWRT->,11610,34,341.4705882,#3180B6
[@14.0.57766396@]100NY1,21972,61,360.1967213,#3180B6
[@14.0.57766396@]100S,24831,69,359.8695652,#3180B6
[@14.0.57766396@]100S->BRWSWDFLD,16207,41,395.2926829,#3180B6
[@14.0.57766396@]Y1SATPO,4779,10,477.9,#3180B6
[@14.0.57766396@]Y3SATPO,8983,15,598.8666667,#3180B6
[@15.0.59410957@]1,9175,30,305.8333333,#3180B6
