shape_id,shape_len,period
[@15.0.68512960@]111,12214,31
[@15.0.68512960@]112,4507,14
[@15.0.68512960@]65,12153,37
[@15.0.68513015@]219,20146,57
[@15.0.68513015@]220,12153,38
[@15.0.68513188@]4,9604,34
[@15.0.68513410@]21,6432,18
[@15.0.68513410@]63,4183,12
[@15.0.69155236@]1,9916,30
[@15.0.69155236@]36,5164,12
[@15.0.69155236@]37,7612,30
[@15.0.69155236@]530,10858,24
[@15.0.69155236@]540,12711,26.6167
[@15.0.69155236@]57,5178,12
[@15.0.69172548@]1,22326,56
[@15.0.69172548@]2,21443,58
[@15.0.69172548@]7,4009,10
[@15.0.70780160@]363,2482,9.5
[@15.0.70780451@]31,15269,30
[@15.0.70780822@]4,11893,29
[@15.0.70781343@]3,12919,30
[@15.0.70781976@]15,18506,43
[@15.0.71205318@]1,3892,10
[@15.0.71205318@]2,9687,15
[@15.0.71205318@]30NIT->BB,12634,29
[@15.0.71205318@]30SBB->IT,12770,29
[@15.0.73006437@]18,9560,25
[@15.0.73006437@]37,14600,37
[@15.0.73006437@]38,20608,54
[@15.0.73007178@]121,1354,5
[@15.0.73007320@]111,14744,49
[@15.0.73007320@]13,6317,10
[@15.0.73007320@]506,9600,28
[@15.0.73007815@]73,14328,37
[@15.0.73007921@]22,15282,42
[@15.0.73008535@]13,7883,20
[@15.0.73008754@]31,10985,26
[@15.0.73008754@]33,12443,30
[@15.0.73008754@]35,13282,30
[@15.0.73008754@]38,11347,26
[@15.0.73008754@]39,13645,30
[@15.0.73009433@]41,21173,55
[@15.0.73009433@]43,19968,42
[@15.0.73009433@]44,11196,26
[@15.0.73009433@]45,21819,44
[@15.0.73009433@]51,11001,27
[@15.0.73009483@]22,4408,11
[@15.0.74000704@]37,7868,15
[@15.0.74000704@]38,7868,15
[@15.0.74000704@]41,11347,26
[@15.0.74000704@]51,10992,26
[@15.0.79613563@]47,3756,15
[@2.0.80546279@]243,3493,7
[@2.0.80546903@]58,26773,72
[@2.0.80546903@]59,24744,63
[@2.0.80547772@]12,3025,5.6667
[@2.0.80548152@]2,20098,50
[@2.0.81457398@]15,6811,23
[@2.0.81457398@]16,6832,18
[@2.0.81838518@]100,10549,25
[@2.0.81838518@]101,23412,45
[@2.0.81838518@]102,9389,18
[@2.0.81838518@]103,23703,45
[@2.0.81838518@]104,7884,20
[@2.0.81838518@]12,27211,48
[@2.0.82999720@]3,12811,22
