shape_id,trips_per_hour,color
[@124.0.92244155@]22N ILLINI LIMITED WEEKEND,5.0000,#82CCBB
[@124.0.92244155@]5,8.5714,#3180B6
[@124.0.92244155@]ILLINI LIMITED WEEKEND 845,4.6154,#82CCBB
[@124.0.92246230@]1,2.7273,#EDF7B4
[@124.0.92246230@]2,2.1429,#EDF7B4
[@124.0.92246230@]4,2.5000,#EDF7B4
[@124.0.92247832@]100N,4.2857,#82CCBB
[@124.0.92247832@]100N->IT,1.3333,#EDF7B4
[@124.0.92247832@]100S,6.6667,#82CCBB
[@124.0.92247832@]100S->1STGRG,1.6216,#EDF7B4
[@124.0.92247832@]100S->PLAZA,1.6667,#EDF7B4
[@124.0.92247832@]9,12.0000,#3180B6
[@124.0.92254999@]43,1.4286,#EDF7B4
[@124.0.92254999@]45,1.3636,#EDF7B4
[@124.0.92254999@]46,2.2222,#EDF7B4
[@124.0.92254999@]51,2.2222,#EDF7B4
[@124.0.92260187@]220N ILLINI 10,1.7647,#EDF7B4
[@124.0.92260187@]220S ILLINI 20,1.7647,#EDF7B4
[@124.0.92260187@]24,8.5714,#3180B6
[@124.0.92260187@]ILLINI EV 25,6.0000,#82CCBB
[@124.0.92263401@]220N ILLINI 10,1.7647,#EDF7B4
[@124.0.92263401@]220S ILLINI 20,1.7647,#EDF7B4
[@124.0.92263401@]24,8.5714,#3180B6
[@124.0.92263401@]ILLINI EV 25,6.0000,#82CCBB
[@124.0.92275054@]120E TEAL LATE 13,3.0000,#EDF7B4
[@124.0.92275054@]120W TEAL LATE 12,3.1579,#EDF7B4
[@124.0.92275054@]TEAL LATE 14,3.5294,#EDF7B4
[@124.0.92276155@]120E TEAL LATE 13,3.0000,#EDF7B4
[@124.0.92276155@]120W TEAL LATE 12,3.1579,#EDF7B4
[@124.0.92276155@]TEAL LATE 14,3.5294,#EDF7B4
[@124.0.92279199@]TEAL EVENING 12,3.1579,#EDF7B4
[@124.0.92279199@]TEAL EVENING 13,3.0000,#EDF7B4
[@124.0.92279199@]TEAL EVENING 14,3.5294,#EDF7B4
[@124.0.92281033@]130N SILVER WEEKEND 1,3.3333,#EDF7B4
[@124.0.92281033@]130N SILVER WEEKEND 2,4.2857,#82CCBB
[@124.0.92281033@]130S SILVER WEEKEND 3,3.5294,#EDF7B4
[@124.0.92281033@]SILVER WEEKEND 31,4.0000,#82CCBB
[@124.0.92281033@]SILVER WEEKEND 42,20.0000,#3180B6
[@124.0.92281033@]SILVER WEEKEND 43,6.0000,#82CCBB
[@124.0.92284627@]130N SILVER EVENING 1,3.3333,#EDF7B4
[@124.0.92284627@]130N SILVER EVENING 2,4.2857,#82CCBB
[@124.0.92284627@]130S SILVER EVENING 3,3.5294,#EDF7B4
[@124.0.92284627@]SILVER 121,4.0000,#82CCBB
[@124.0.92286725@]130N SILVER EVENING 1,3.3333,#EDF7B4
[@124.0.92286725@]130N SILVER EVENING 2,4.2857,#82CCBB
[@124.0.92286725@]130S SILVER EVENING 3,3.5294,#EDF7B4
[@124.0.92286725@]SILVER 121,4.0000,#82CCBB
[@124.0.92311676@]32,1.6216,#EDF7B4
[@124.0.92311676@]50E GREEN 53,2.5000,#EDF7B4
[@124.0.92311676@]50W GREEN 59,1.4634,#EDF7B4
[@124.0.92311676@]71,1.0714,#EDF7B4
[@124.0.92311676@]GREEN EV 61,3.3333,#EDF7B4
[@124.0.92311676@]GREEN EVENING 39,1.3333,#EDF7B4
[@124.0.92319406@]1,1.2766,#EDF7B4
[@124.0.92319406@]20,3.0000,#EDF7B4
[@124.0.92319406@]4,1.1111,#EDF7B4
[@124.0.92319406@]7,1.0169,#EDF7B4
[@124.0.92319406@]9,4.0000,#82CCBB
[@124.0.92327957@]100 LATE 3,4.2857,#82CCBB
[@124.0.92327957@]100 LATE 4,3.3333,#EDF7B4
[@124.0.92327957@]100 LATE 5,2.0690,#EDF7B4
