shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.116961,-88.185048,153,"417.59109245124216",2,#FF7182
[@2.0.86175868@]19,40.116963,-88.185022,154,"419.81222984558883",2,#FF7182
[@2.0.86175868@]19,40.116966,-88.184989,155,"422.63647248470596",2,#FF7182
[@2.0.86175868@]19,40.116971,-88.184957,156,"425.41248888100705",2,#FF7182
[@2.0.86175868@]19,40.116977,-88.184925,157,"428.21432924172933",2,#FF7182
[@2.0.86175868@]19,40.116982,-88.184893,158,"430.9903456380304",2,#FF7182
[@2.0.86175868@]19,40.116989,-88.184858,159,"434.06488313538114",2,#FF7182
[@2.0.86175868@]19,40.116995,-88.184823,160,"437.1129535334151",2,#FF7182
[@2.0.86175868@]19,40.117003,-88.184789,161,"440.13730317869937",2,#FF7182
[@2.0.86175868@]19,40.11701,-88.184754,162,"443.2118406760501",2,#FF7182
[@2.0.86175868@]19,40.117015,-88.18473,163,"445.324969542834",2,#FF7182
[@2.0.86175868@]19,40.11702,-88.184706,164,"447.44022750725304",2,#FF7182
[@2.0.86175868@]19,40.117025,-88.184682,165,"449.55548547167206",2,#FF7182
[@2.0.86175868@]19,40.11703,-88.184658,166,"451.6707434360911",2,#FF7182
[@2.0.86175868@]19,40.117035,-88.184634,167,"453.783872302875",2,#FF7182
[@2.0.86175868@]19,40.11704,-88.18461,168,"455.89700116965895",2,#FF7182
[@2.0.86175868@]19,40.117045,-88.184586,169,"458.0101300364429",2,#FF7182
[@2.0.86175868@]19,40.117051,-88.184562,170,"460.15497346515116",2,#FF7182
[@2.0.86175868@]19,40.11706,-88.184518,171,"464.024263360383",2,#FF7182
[@2.0.86175868@]19,40.117069,-88.184474,172,"467.8947164271112",2,#FF7182
[@2.0.86175868@]19,40.117079,-88.184431,173,"471.7148333180503",2,#FF7182
[@2.0.86175868@]19,40.117087,-88.184386,174,"475.6407133550694",2,#FF7182
[@2.0.86175868@]19,40.117092,-88.184354,175,"478.4167297513705",2,#FF7182
[@2.0.86175868@]19,40.117097,-88.184321,176,"481.2758213465213",2,#FF7182
[@2.0.86175868@]19,40.117102,-88.184289,177,"484.0518377428224",2,#FF7182
[@2.0.86175868@]19,40.117105,-88.184256,178,"486.8760803819395",2,#FF7182
[@2.0.86175868@]19,40.117106,-88.184235,179,"488.66379965041665",2,#FF7182
[@2.0.86175868@]19,40.117106,-88.184213,180,"490.53035394423296",2,#FF7182
[@2.0.86175868@]19,40.117107,-88.184192,181,"492.3155535225664",2,#FF7182
[@2.0.86175868@]19,40.117107,-88.18417,182,"494.1796946876506",2,#FF7182
[@2.0.86175868@]19,40.117107,-88.184148,183,"496.04383585273484",2,#FF7182
[@2.0.86175868@]19,40.117108,-88.184127,184,"497.83407126498844",2,#FF7182
[@2.0.86175868@]19,40.117108,-88.184104,185,"499.7924196046515",2,#FF7182
[@2.0.86175868@]19,40.117108,-88.184083,186,"501.5826550169051",2,#FF7182
[@2.0.86175868@]19,40.117109,-88.184035,187,"505.6659018673189",2,#FF7182
[@2.0.86175868@]19,40.117109,-88.183987,188,"509.74694334525185",2,#FF7182
[@2.0.86175868@]19,40.117109,-88.183939,189,"513.8279848231848",2,#FF7182
[@2.0.86175868@]19,40.1171094,-88.1839171,190,"515.687290335078",2,#FF7182
[@2.0.86175868@]19,40.11709,-88.18391667,191,"517.8426015830619",2,#FF7182
[@2.0.86175868@]19,40.1171094,-88.1839171,192,"519.9979128310457",3,#FFAE5D
[@2.0.86175868@]19,40.11711,-88.183891,193,"522.2190502253924",3,#FFAE5D
[@2.0.86175868@]19,40.11711,-88.183846,194,"526.0450541854597",3,#FFAE5D
[@2.0.86175868@]19,40.11711,-88.1838,195,"529.9560003159801",3,#FFAE5D
[@2.0.86175868@]19,40.11711,-88.183754,196,"533.8669464465005",3,#FFAE5D
[@2.0.86175868@]19,40.11711,-88.183709,197,"537.6929504065678",3,#FFAE5D
[@2.0.86175868@]19,40.117082,-88.183709,198,"540.8053208345665",3,#FFAE5D
[@2.0.86175868@]19,40.117053,-88.18371,199,"544.0299229658189",3,#FFAE5D
[@2.0.86175868@]19,40.117025,-88.183711,200,"547.1451845885217",3,#FFAE5D
[@2.0.86175868@]19,40.116996,-88.183711,201,"550.368390485835",3,#FFAE5D
[@2.0.86175868@]19,40.116968,-88.183712,202,"553.4807609138337",3,#FFAE5D
[@2.0.86175868@]19,40.116939,-88.183712,203,"556.7025699721227",3,#FFAE5D
[@2.0.86175868@]19,40.116911,-88.183713,204,"559.8163863330346",3,#FFAE5D
[@2.0.86175868@]19,40.116883,-88.183714,205,"562.9302026939466",3,#FFAE5D
[@2.0.86175868@]19,40.116817,-88.183717,206,"570.2699471064253",3,#FFAE5D
[@2.0.86175868@]19,40.116752,-88.183721,207,"577.5021934530647",3,#FFAE5D
[@2.0.86175868@]19,40.116687,-88.183725,208,"584.7338173765052",3,#FFAE5D
[@2.0.86175868@]19,40.116621,-88.18373,209,"592.0809174725528",3,#FFAE5D
[@2.0.86175868@]19,40.116597,-88.183732,210,"594.7528269364335",3,#FFAE5D
[@2.0.86175868@]19,40.116573,-88.183734,211,"597.4264205539412",3,#FFAE5D
[@2.0.86175868@]19,40.116549,-88.183736,212,"600.1000141714488",3,#FFAE5D
[@2.0.86175868@]19,40.1165331,-88.1837373,213,"601.8700202855815",3,#FFAE5D
[@2.0.86175868@]19,40.11654167,-88.18384,214,"610.6495803897177",3,#FFAE5D
[@2.0.86175868@]19,40.1165331,-88.1837373,215,"619.4291404938539",4,#F8F8F2
[@2.0.86175868@]19,40.116525,-88.183738,216,"620.3292729042381",4,#F8F8F2
[@2.0.86175868@]19,40.1165,-88.183741,217,"623.118231172078",4,#F8F8F2
[@2.0.86175868@]19,40.116476,-88.183743,218,"625.7884554201091",4,#F8F8F2
[@2.0.86175868@]19,40.116452,-88.183745,219,"628.4586796681402",4,#F8F8F2
[@2.0.86175868@]19,40.116428,-88.183747,220,"631.1322732856479",4,#F8F8F2
[@2.0.86175868@]19,40.116378,-88.183747,221,"636.6891684637619",4,#F8F8F2
[@2.0.86175868@]19,40.116328,-88.183744,222,"642.2509217764289",4,#F8F8F2
[@2.0.86175868@]19,40.116278,-88.183738,223,"647.831258757671",4,#F8F8F2
[@2.0.86175868@]19,40.116228,-88.183728,224,"653.4525838588145",4,#F8F8F2
[@2.0.86175868@]19,40.116189,-88.183716,225,"657.9049800431501",4,#F8F8F2
[@2.0.86175868@]19,40.116151,-88.183702,226,"662.2921958213547",4,#F8F8F2
[@2.0.86175868@]19,40.116113,-88.183686,227,"666.7283866882862",4,#F8F8F2
[@2.0.86175868@]19,40.116076,-88.183667,228,"671.1442372790327",4,#F8F8F2
[@2.0.86175868@]19,40.115973,-88.183637,229,"682.8713194820572",4,#F8F8F2
[@2.0.86175868@]19,40.115967,-88.183634,230,"683.5813535027488",4,#F8F8F2
