shape_id,shape_len
[@15.0.73006437@]37,14600
[@15.0.73006437@]38,20608
[@15.0.73007178@]121,1354
[@15.0.73007320@]111,14744
[@15.0.73007320@]13,6317
[@15.0.73007320@]506,9600
[@15.0.73007815@]73,14328
[@15.0.73007921@]22,15282
[@15.0.73008535@]13,7883
[@15.0.73008754@]31,10985
[@15.0.73008754@]33,12443
[@15.0.73008754@]35,13282
[@15.0.73008754@]38,11347
[@15.0.73008754@]39,13645
[@15.0.73009433@]41,21173
[@15.0.73009433@]43,19968
[@15.0.73009433@]44,11196
[@15.0.73009433@]45,21819
[@15.0.73009433@]51,11001
[@15.0.73009483@]22,4408
[@15.0.74000704@]37,7868
[@15.0.74000704@]38,7868
[@15.0.74000704@]41,11347
[@15.0.74000704@]51,10992
[@15.0.79613563@]47,3756
[@2.0.80546279@]243,3493
[@2.0.80546903@]58,26773
[@2.0.80546903@]59,24744
[@2.0.80547772@]12,3025
[@2.0.80548152@]2,20098
[@2.0.81457398@]15,6811
[@2.0.81457398@]16,6832
[@2.0.81838518@]100,10549
[@2.0.81838518@]101,23412
[@2.0.81838518@]102,9389
[@2.0.81838518@]103,23703
[@2.0.81838518@]104,7884
[@2.0.81838518@]12,27211
[@2.0.82999720@]3,12811
[@2.0.83502711@]3,18411
[@2.0.84876422@]22,5637
[@2.0.84876422@]62,9740
[@2.0.84876422@]885,16723
"[@2.0.84876422@]LAVENDER 1",15039
"[@2.0.84876422@]LAVENDER 1415",23412
"[@2.0.84876422@]LAVENDER 1425",16716
"[@2.0.84876422@]LAVENDER 1440",11666
"[@2.0.84876422@]LAVENDER 1505",19957
"[@2.0.84876422@]LAVENDER 43",14307
[@2.0.84876422@]LP1SCHOOLPO,18094
[@2.0.84887452@]67,3308
[@2.0.84887452@]7,11357
"[@2.0.84887452@]GREEN 1",3504
"[@2.0.84887452@]GREEN 2",8036
"[@2.0.84887452@]GREEN 3",4848
"[@2.0.84887452@]GREEN 336",10138
"[@2.0.84887452@]S6 ALT",8570
"[@2.0.84887452@]SCWD UMS",8269
[@2.0.84907145@]1435,25833
[@2.0.84907145@]21,12120
[@2.0.84907145@]25,11856
[@2.0.84907145@]326,9526
[@2.0.84907145@]331,3252
[@2.0.84907145@]336,6915
[@2.0.84907145@]34,12708
[@2.0.84907145@]36,11189
"[@2.0.84907145@]7W SHOW 226",4868
"[@2.0.84907145@]7W SHOW 97",910
"[@2.0.84907145@]7W UHS 216",7496
[@2.0.84907145@]88,8931
"[@2.0.84907145@]BA3-3 58",7071
"[@2.0.84907145@]GREY 1415",4710
"[@2.0.84907145@]GREY 1425",9918
"[@2.0.84907145@]GREY 1525",3937
"[@2.0.84907145@]GREY 1535",6194
[@2.0.84916234@]65,25786
[@2.0.84927215@]2,7171
"[@2.0.84927215@]GOLD 1",9957
"[@2.0.84927215@]GOLD 1505",7554
"[@2.0.84927215@]GOLD 1535",7448
"[@2.0.84927215@]GOLD 336",9604
"[@2.0.84927215@]ORB2 UMS",9184
[@2.0.84948307@]11,7615
[@2.0.84948307@]133,12192
[@2.0.84948307@]2,8399
[@2.0.84948307@]22,12071
[@2.0.84948307@]7,14023
[@2.0.84953216@]33,18083
[@2.0.84953216@]43,19285
"[@2.0.84953216@]GREEN EX 1425",19358
[@2.0.85633009@]76,15430
[@2.0.85633009@]78,9682
[@2.0.85633622@]8,6356
